,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
demor,-0.004370776,0.13138653,-0.011214235,0.124240145,-0.02458246,-0.16825783,0.084846206,0.352308,-0.13421398,-0.084216096,-0.11242982,0.15501767,0.12891072,0.2814582,-0.0106476825,-0.20774017,0.4138656,-0.13596943,-0.13685727,-0.30464694,0.27045232,0.05625358,0.3405081,0.015299899,0.18436062,-0.11448753,-0.20618002,0.20366302,-0.2691234,0.07379767,0.20673399,-0.013688689,-0.08130182,-0.34479937,-0.06279773,-0.036078766,0.0559906,-0.17423265,-0.036804564,-0.05934924,-0.22971559,0.11551229,-0.20362952,-0.093223214,-0.044328213,-0.032812744,-0.18927498,-0.061533656,0.06657308,0.1447369,0.046505973,-0.09314822,-0.40486178,-0.015418271,0.19253047,-0.05845189,0.08611658,-0.041122742,-0.30064887,0.055521723,-0.13805822,-0.04975568,0.021279627,-0.045040883,0.07613762,0.2254036,-0.0035067783,-0.12762642,-0.035423793,-0.02947715,0.15884833,0.20862186,-0.049882717,-0.16872834,0.109831385,-0.21042867,0.15440768,0.12977593,-0.06670894,0.013358135,-0.21635288,0.119639486,-0.00026070522,0.20486751,-0.21042752,-0.022333816,0.32661286,0.062309314,-0.13501284,0.07309456,0.16987757,0.024606382,0.15440808,-0.20430548,0.20285335,-0.038729236,-0.02743222,-0.13587867,-0.04791032,0.08083293
erro,-0.29003188,0.1426621,-0.26222533,-0.4024743,0.20726243,-0.14867459,-0.35369283,0.11037817,0.07378188,-0.20039697,-0.14636716,-0.12695058,-0.071121216,0.35802165,0.36204642,0.18114762,0.4596307,0.49676022,0.121121965,0.18116297,0.24477443,-0.061483685,0.49715182,-0.46311668,0.6661832,0.24267046,0.0144108,0.20656082,0.028300742,0.19044794,0.26582602,-0.15810995,0.13148756,-0.6806941,0.050226092,0.17375791,-0.107492454,0.24471858,-0.23252803,0.3438894,-0.122910865,0.19280079,-0.106289044,-0.28538254,0.0083863195,-0.083903685,0.27142304,-0.23821063,-0.116615154,-0.024904365,0.45494628,-0.15804675,-0.5075449,0.099910915,-0.03655563,0.1056257,0.28197145,0.15921332,0.123002686,-0.09727548,-0.3633983,-0.20567814,0.29755712,0.4730549,-0.041907404,0.4139175,0.10661809,-0.22851893,-0.16151035,0.69416666,0.26695758,-0.050552547,0.16047674,0.36737332,0.05157645,-0.066953406,0.14475767,-0.22887063,-0.18111664,0.113387756,-0.65257543,-0.10528169,0.095637836,-0.253792,0.16981043,-0.08293687,0.13646902,-0.27484173,0.08055843,-0.039815526,-0.043251764,0.013797579,0.15728931,-0.4887931,-0.06151237,0.19265734,0.29757378,0.0042927675,-0.3116085,0.12051816
tent,-0.13858058,0.12290476,-0.2747743,-0.48884037,0.18214227,-0.11378179,-0.4674749,0.4137323,0.10170407,-0.06287207,-0.23470949,-0.22271074,-0.07790281,0.3968751,0.16427049,0.15011851,0.30158263,0.52386624,-0.012457061,0.02285509,0.2355599,0.1793659,0.2789646,-0.2442272,0.40088183,0.20382625,0.33645204,0.19597317,-0.048408918,0.17808095,0.19726813,-0.36924976,0.08257586,-0.62428594,-0.17574319,0.047648318,0.090908475,0.110994056,-0.3725735,0.39305672,-0.0734688,0.22074082,-0.13059802,-0.066096485,0.19162746,0.13659243,0.047615543,-0.2826677,-0.02779489,-0.087255724,0.23769867,-0.22733498,-0.4532359,-0.044623893,-0.09913783,0.03295436,0.2856595,0.008584787,0.15988861,-0.062110163,-0.23371784,-0.27514648,0.3954242,0.4643634,-0.10124758,0.4488547,-0.008985554,-0.10417601,-0.22458237,0.6938926,0.3127201,0.095903255,0.20527975,0.08808825,-0.0093913665,0.13771243,0.49760398,-0.30126235,-0.1813171,0.12909648,-0.44697872,-0.20553382,-0.114159875,-0.2333365,0.0055522537,-0.040887043,-0.20108774,-0.2728665,0.12156236,0.03616682,0.005083574,0.17898832,0.3781551,-0.475678,-0.19120494,0.13943163,0.4069076,0.15330495,-0.05444257,0.22202997
relatori,-0.13647842,0.22701587,-0.17176087,-0.020180054,0.025294814,-0.17237736,0.037576634,0.24662642,0.04351722,-0.12303428,-0.049910292,0.17144436,0.14158317,0.19497347,0.21016116,0.06517599,0.49443263,0.03810921,-0.27890357,0.052542336,0.35497665,0.056486145,0.2818954,0.11631449,-0.034990814,0.116444536,-0.034191586,0.20321275,-0.033014424,0.021045381,0.12861867,0.019740863,-0.16013967,-0.49611905,0.012826984,0.08740496,0.17922479,-0.052558165,-0.34194356,0.31213686,0.0445188,0.30314615,0.03925637,-0.3354533,0.21713622,-0.022958936,-0.0718951,-0.19758543,0.08557114,-0.037363105,0.111945994,-0.118039206,-0.5173988,-0.21419106,0.054959316,0.028199032,0.09140044,0.1709696,0.1924606,-0.063990094,-0.095846005,-0.021160135,0.1175279,0.13434823,0.109013826,0.08954157,-0.116259634,0.07639533,-0.1364728,0.11534528,0.16033883,-0.06577304,0.035744656,0.06334945,0.019433476,-0.2860331,0.059841514,0.13826852,-0.19279788,0.08950237,-0.49552837,0.18317908,-0.07970805,0.28137168,-0.21059261,-0.17139679,0.34096968,0.22178662,-0.10353093,-0.23083581,-0.024772462,-0.09450852,0.082192555,-0.23344101,0.110471964,-0.06485815,0.18116291,-0.12156743,-0.16828269,0.17559995
notificaco,-0.079609215,0.10890533,-0.17764042,-0.12309235,0.02149371,-0.009056632,0.23405267,0.20013092,-0.21093252,-0.098143876,-0.030421732,0.20785747,-0.08050585,0.18711641,-0.040629093,-0.27564314,0.2594551,0.1685904,-0.0056210435,-0.26019615,0.060647592,-0.3719114,0.4382084,0.0621642,-0.032588053,0.0818787,-0.20442571,0.014803435,-0.058706798,0.13538627,0.469132,0.038627304,-0.006827116,-0.31944853,0.12167182,0.028702836,-0.12698026,0.25170574,0.04901766,-0.102851324,0.2718834,-0.22064209,-0.006662534,-0.12960203,0.004474143,-0.2587043,0.07377903,0.04304463,0.07995825,-0.16566397,0.22287351,-0.08075681,0.008960357,0.0056998385,-0.27896953,-0.3156508,-0.051796865,-0.3165473,0.050782524,-0.4376671,0.18089367,-0.25856262,0.44830146,0.08559497,-0.20116556,0.25228575,0.17978881,0.11581411,-0.5983403,0.17766032,-0.036450833,0.3219935,0.0016316059,0.35061812,0.22462897,9.91412e-05,-0.12630558,0.4398127,0.07115272,0.028205696,-0.18748909,-0.24419545,0.086132824,-0.017370744,-0.15206501,-0.43149403,0.2921173,0.05323017,-0.3662189,-0.087646015,0.21775699,-0.07714983,0.09491129,-0.22220652,0.21796685,-0.22088858,0.15532501,-0.0038944494,-0.07368475,0.008665915
atras,-0.11148419,0.04803248,-0.018589815,-0.1815921,-0.18577896,0.022982769,0.19878314,0.23924348,-0.18311249,-0.19136183,-0.1380402,0.16884482,-0.05307264,0.084144115,-0.1302211,-0.30391094,0.21340746,0.003330393,-0.0902518,-0.2801429,-0.13485755,-0.23199981,0.486819,0.20384166,-0.10388753,-0.0022575273,-0.1915375,-0.081335716,0.006538225,0.4058956,0.44596666,-0.11463113,-0.060025662,-0.35478568,0.025024412,0.1527179,0.063639134,0.17778438,0.13206096,-0.10185049,0.17912275,-0.27434984,-0.14080814,-0.18684584,-0.043063372,-0.34346974,0.055204574,0.06045289,0.05109819,-0.092402734,0.1810803,-0.2634048,-0.0012874512,0.13499552,-0.3291729,-0.1495844,0.09869367,-0.24668063,-0.11232961,-0.34473807,0.13574603,-0.3365398,0.5574942,0.017489543,-0.19607958,0.3030829,0.10885485,-0.042276923,-0.5706647,0.003912137,0.15083149,0.3392409,0.15897477,0.31334805,0.11011603,0.046627585,-0.20278385,0.39637166,-0.022086233,0.27288666,-0.0038804107,-0.29695687,0.18742774,0.014952394,-0.17655513,-0.36818823,0.15032695,0.18019235,-0.16142686,0.13847186,0.3701245,0.12045778,-0.04023965,-0.40526402,0.30341154,-0.10437438,0.13588092,-0.21095072,0.031261537,-0.075277336
cheg,0.25398186,-0.026056986,-0.0247889,0.07193935,-0.0024873326,-0.040501412,0.3311619,0.13263594,-0.2040408,-0.19939613,0.29058036,0.18130665,0.094514064,0.48666912,-0.07559428,-0.108917974,0.45127428,0.32210964,-0.032684606,-0.395343,-0.014266953,-0.18131231,0.47240287,0.1531577,0.09951392,0.13999498,-0.19960749,-0.029693889,0.06513169,0.014066485,0.37083408,0.21324098,-0.056336533,0.10979273,-0.14889376,0.10589666,-0.125158,-0.15905236,-0.14408104,-0.22681922,0.24877788,-0.19365697,0.11890884,-0.25684783,0.010676692,0.07421175,-0.1850677,-0.14836964,-0.07843714,-0.075849004,0.006444024,-0.35869414,-0.36678612,0.093253955,-0.29115915,-0.329008,-0.14719522,-0.41543847,-0.057291426,-0.47233504,-0.04494424,-0.32390422,0.57745427,0.1518807,-0.30913654,0.34897318,-0.2153661,-0.09134679,-0.46245188,-0.07970145,0.08113771,0.42419356,-0.07733132,0.35424268,0.1921027,-0.16079645,-0.00044826162,0.38880712,-0.15040243,0.21358669,0.06198212,-0.29296994,0.021724584,0.13404223,0.009871272,-0.230225,0.4453046,-0.1949424,-0.3439885,-0.004660492,0.037589863,0.013530377,-0.06484386,-0.13980037,0.17192583,-0.11601119,0.34140447,-0.25487712,-0.055067778,0.13320103
respond,-0.04375285,-0.08267404,-0.017726874,-0.045389883,0.13876735,0.015358237,-0.06666449,0.060173884,-0.03700801,-0.0401115,-0.08237195,-0.008086035,0.14570244,0.00058382837,0.099575035,-0.10962645,0.31762362,-0.15786965,-0.017879087,-0.25155523,0.02579653,-0.06622334,0.22564687,-0.21124448,0.10253863,0.03387631,-0.18234718,0.17110215,-0.10484184,0.18412583,0.14250731,0.05855794,-0.015746327,-0.36668298,0.0050903508,0.068041235,-0.1626077,-0.13139862,-0.121442415,0.016064974,0.046093233,-0.08302684,0.010317745,0.021740623,0.09965767,-0.15961602,-0.088581845,-0.1492617,-0.015410185,0.050499637,0.16190322,-0.13715434,-0.09611307,0.046462506,-0.11271479,0.021990925,0.07093463,0.232124,-0.023809368,0.077484466,-0.011371264,-0.14674102,0.16947553,0.19616131,0.01637917,0.2504379,-0.08013495,0.07911444,-0.21295685,0.029208498,0.093280286,0.16471164,0.17987196,0.07117185,0.08667319,-0.2617703,0.13101484,0.034210745,-0.034214877,0.061208393,-0.3992623,-0.030882616,-0.30066708,0.18171926,-0.100225836,-0.10342056,0.25373727,0.14491041,0.16383435,0.05278,0.12051412,0.096574716,-0.0954314,-0.026310321,0.14062406,0.030900868,0.090234995,-0.058629073,0.032700337,-0.08885071
solicitaca,-0.082107216,0.41846085,0.10115395,0.42586425,0.21830386,-0.2493908,0.2189984,0.09198687,-0.48705056,-0.055645544,0.4704565,-0.09165769,0.43896112,-0.228208,0.38195798,0.21399109,0.12184976,-0.36076173,-0.30101836,-0.5592736,-0.13605599,0.10657067,0.532808,-0.62527156,0.1385341,-0.06108412,-0.43163672,-0.11359315,0.21129826,-0.18830664,0.43042448,-0.21302034,0.37004703,0.44558072,-0.0282342,0.49887392,-0.0084819915,0.3856336,-0.057822537,-0.52405953,-0.25034314,0.14996074,-0.06934644,0.12187121,-0.21115851,-0.1523535,0.0383175,0.14114061,-0.17012785,0.26210645,0.047354262,-0.047522377,-0.22156881,-0.10875143,0.09438281,-0.38427085,-0.015676774,0.09271595,0.31889284,-0.19039787,-0.38631856,-0.18634126,0.8551437,0.025726374,-0.767177,0.27127805,-0.23669246,0.03845265,-0.4285001,0.06621113,-0.12074431,0.4442857,0.10088492,0.5705276,-0.11670325,-0.08594618,-0.18900396,-0.32515872,-0.19392376,0.0075780726,0.06630737,0.08766887,0.19242899,0.1284904,0.23996818,-0.15993914,-0.08298859,-0.36057514,0.3828808,0.4444758,-0.0445761,0.25470346,0.114071384,0.13646333,0.5727594,-0.030184105,0.04419456,0.11274331,0.29679608,-0.47344923
rap,-0.17457671,0.18344414,-0.27811846,0.3446106,0.16631648,-0.4178449,-0.08184882,0.3679121,-0.42049795,-0.30137476,0.46015424,-0.2702851,0.24911149,-0.20711252,0.29296505,0.24982941,0.24972521,-0.4076992,0.08400569,-0.5366098,-0.07742525,0.07421293,0.30520636,-0.62533754,0.28199002,-0.068308,-0.37926474,0.1440728,0.13563628,-0.23283026,0.42835593,-0.14267063,0.43529403,0.55941516,-0.1259233,0.40603507,-0.018054597,0.41607937,-0.05617697,-0.19248752,-0.086171165,0.2766663,-0.19107312,0.13516213,-0.28759032,-0.11623247,0.01864833,0.12876135,0.02164461,0.38440558,0.20275728,0.14863561,-0.23956959,0.13304442,0.13834976,-0.45161465,-0.008181242,0.021123832,0.38131443,-0.07350485,-0.42054725,0.043917187,0.9256663,0.08601113,-0.7453056,0.2502637,-0.3728485,-0.19008744,-0.37645417,0.052299976,0.10295253,0.5505219,0.03318851,0.29867133,-0.02377709,-0.076411396,0.17332602,-0.3386401,0.045669775,-0.08830589,-0.083267376,0.08198563,0.12608457,0.20022276,0.10620603,-0.2757442,-0.26640552,-0.24213514,0.5016769,0.40712252,-0.17815265,0.4176472,0.13523835,0.463828,0.55489236,-0.24703741,-0.069008745,0.2553923,0.41172925,-0.31753862
